filepath,emotion,sentiment,transcription,true_sentiment,pred_sentiment
Savee/DC_a01.wav,angry,unsatisfied,shed your dark suit and greasy wash water all year,unsatisfied,unsatisfied
Savee/DC_a02.wav,angry,unsatisfied,don't ask me to carry an oily rag like that,unsatisfied,unsatisfied
Savee/DC_a03.wav,angry,unsatisfied,will you tell me why,unsatisfied,satisfied
Savee/DC_a04.wav,angry,unsatisfied,who authorize you limbid expense ar count,unsatisfied,unsatisfied
Savee/DC_a05.wav,angry,unsatisfied,destroy every file related to my oudits,unsatisfied,unsatisfied
Savee/DC_a06.wav,angry,unsatisfied,coriantress played tag with beechballs for hours,unsatisfied,unsatisfied
Savee/DC_a07.wav,angry,unsatisfied,he will allow a rare lie,unsatisfied,unsatisfied
Savee/DC_a08.wav,angry,unsatisfied,withdraw all forny acquisitions at once,unsatisfied,unsatisfied
Savee/DC_a09.wav,angry,unsatisfied,right no may not be the best time for business murgers,unsatisfied,unsatisfied
Savee/DC_a10.wav,angry,unsatisfied,kin the garden children decorate the class rooms for all holidays,unsatisfied,satisfied
Savee/DC_a11.wav,angry,unsatisfied,a few years later the dawn fell in,unsatisfied,unsatisfied
Savee/DC_a12.wav,angry,unsatisfied,but in this one section we welcomed orditors,unsatisfied,satisfied
Savee/DC_a13.wav,angry,unsatisfied,lot of people will roam the streets in costumes in masks and having a boll,unsatisfied,satisfied
Savee/DC_a14.wav,angry,unsatisfied,in many of his poems death comes by train a strong evocative visual image,unsatisfied,satisfied
Savee/DC_a15.wav,angry,unsatisfied,then he would realize they were really things that only he himself could think,unsatisfied,unsatisfied
Savee/DC_d01.wav,disgust,unsatisfied,she had your dark suit in greasy washwater all year,unsatisfied,unsatisfied
Savee/DC_d02.wav,disgust,unsatisfied,don't ask me to carry an ily rag like that,unsatisfied,unsatisfied
Savee/DC_d03.wav,disgust,unsatisfied,will ye tell me why,unsatisfied,unsatisfied
Savee/DC_d04.wav,disgust,unsatisfied,please take this dirty tearable cloth to the cleaness for me,unsatisfied,unsatisfied
Savee/DC_d05.wav,disgust,unsatisfied,the small boy put the worm on the huck,unsatisfied,unsatisfied
Savee/DC_d06.wav,disgust,unsatisfied,basket ball can be an entertaining sport,unsatisfied,satisfied
Savee/DC_d07.wav,disgust,unsatisfied,how good is your endurance,unsatisfied,satisfied
Savee/DC_d08.wav,disgust,unsatisfied,barb burned paper and leaves in a big bonfire,unsatisfied,unsatisfied
